| Exhibit | Object | Object Type | Call Number | Link to Object Image | Copyright Status |
| Queering the Archive: Mary Hoxie Jones and Frances Ferris | 1950 Census | censuses | From Ancestry | https://www.ancestryinstitution.com/imageviewer/collections/62308/images/43290879-Pennsylvania-024888-0015?pId=235253112 |  None |

| Queering the Archive: Mary Hoxie Jones and Frances Ferris | Letter from Frances Canby Ferris to MHJ, 1961 July 25 | letters (correspondence) | MC1130 Box 113 Folder 8 | https://digitalcollections.tricolib.brynmawr.edu/node/537069 | None |

| Queering the Archive: Mary Hoxie Jones and Frances Ferris | Letter from MHJ to FCF, 1961 June 14 | letters (correspondence) | MC1130 Box 119 Folder 8 | https://digitalcollections.tricolib.brynmawr.edu/node/537075 | None |

| Queering the Archive: Mary Hoxie Jones and Frances Ferris | Letter from Elizabeth Gray Vining to Mary Hoxie Jones, 1987 April 26 | letters (correspondence) | MC950_199_01 | https://digitalcollections.tricolib.brynmawr.edu/node/537060 | None |

| Queering the Archive: Mary Hoxie Jones and Frances Ferris | Letter from Mary Hoxie Jones to Frances Ferris, 1961 July 30 | letters (correspondence) | MC1130 Box 119 Folder 8 | https://digitalcollections.tricolib.brynmawr.edu/node/537092 | None |

| Queering the Archive: Mary Hoxie Jones and Frances Ferris | Towards a Quaker View of Sex | books | BX7968_S5_H56_1964 | https://tripod.haverford.edu/permalink/01TRI_INST/mh8mqq/alma991008371269704921 | In Copyright |

| Queering the Archive: Mary Hoxie Jones and Frances Ferris | "Sapphic" poem by MHJ in her book "Arrows of Desire", 1931 | poems | BX7723.J78 A7 | https://tripod.haverford.edu/permalink/01TRI_INST/mh8mqq/alma991012086419704921 | Not in Copyright |

| Queering the Archive: Mary Hoxie Jones and Frances Ferris | "Sudden Encounter" poem by MHJ in her book "Tracing the Rainbow", 1996 | poems | BX7723.J78.T759.1995 | https://tripod.haverford.edu/permalink/01TRI_INST/mh8mqq/alma991007505579704921 | In Copyright |

Queering the Archive: Mary Hoxie Jones and Frances Ferris  Letter from Frances Ferris to Mary Hoxie Jones, 1961 August 26  letters (correspondence)  MC1130 Box 113 Folder 8  https://digitalcollections.tricolib.brynmawr.edu/node/537072  None

Queering the Archive: Mary Hoxie Jones and Frances Ferris  Letter from Mary Hoxie Jones to Frances Ferris, 1961 July 10  letters (correspondence)  MC1130 Box 119 Folder 8  https://digitalcollections.tricolib.brynmawr.edu/node/537082  None

Queering the Archive: Mary Hoxie Jones and Frances Ferris  Letter from Mary Hoxie Jones to Frances Ferris, 1961 July 10  letters (correspondence)  MC1130 Box 119 Folder 8  https://digitalcollections.tricolib.brynmawr.edu/node/537085  None
